LGA,MetropolitanRural,Departmental_region,Area_of_LGA_sq_km,Travel_time_from_Melbourne_mins,Remoteness_category,Population,Number_of_hospitals,Number_of_public_hospitals,Number_of_private_hospitals,Ppl_who_live_near_public_transport_percent,Median_household_income_aud,Hosp_admiss_per_1000_pop
Alpine (S),Rural,Hume,4787,201,Outer Regional Australia,12044,3,3,0,3,829,414.4
Ararat (RC),Rural,Grampians,4210,143,Outer Regional Australia,11207,2,2,0,48.3,844,462.5
Ballarat (C),Rural,Grampians,739,76,Inner Regional Australia,98684,5,2,3,67.4,988,476.2
Banyule (C),Metropolitan,Northern Metropolitan,63,25,Major Cities of Australia,124475,8,3,5,90.4,1394,442.3
Bass Coast (S),Rural,Gippsland,865,111,Inner Regional Australia,31010,1,1,0,36.7,855,482.5
Baw Baw (S),Rural,Gippsland,4031,74,Inner Regional Australia,45205,2,1,1,20.9,1025,394.1
Bayside (C),Metropolitan,Southern Metropolitan,37,15,Major Cities of Australia,98368,7,2,5,96.6,1826,513.2
Benalla (RC),Rural,Hume,2352,136,Inner Regional Australia,13719,1,1,0,41.2,827,518.9
Boroondara (C),Metropolitan,Eastern Metropolitan,60,13,Major Cities of Australia,170553,15,4,11,100,1893,413.8
Brimbank (C),Metropolitan,Western Metropolitan,123,19,Major Cities of Australia,195469,5,1,4,84,1106,413.8
Buloke (S),Rural,Loddon Mallee,8001,205,Outer Regional Australia,6221,5,5,0,7.1,742,562.8
Campaspe (S),Rural,Loddon Mallee,4518,178,Inner Regional Australia,36919,4,4,0,23.2,886,519.5
Cardinia (S),Metropolitan,Southern Metropolitan,1282,45,Inner Regional Australia,84065,1,1,0,43.3,1303,455.8
Casey (C),Metropolitan,Southern Metropolitan,409,36,Major Cities of Australia,275116,8,2,6,62.4,1342,443.8
Central Goldfields (S),Rural,Loddon Mallee,1532,124,Inner Regional Australia,12602,2,2,0,45.4,685,644.8
Colac-Otway (S),Rural,Barwon-South Western,3439,116,Inner Regional Australia,20694,2,2,0,41.2,914,427.4
Corangamite (S),Rural,Barwon-South Western,4408,153,Outer Regional Australia,16137,5,4,1,8.9,909,481.6
Darebin (C),Metropolitan,Northern Metropolitan,53,17,Major Cities of Australia,146797,4,1,3,99.7,1178,440.8
East Gippsland (S),Rural,Gippsland,20937,211,Outer Regional Australia,43413,3,3,0,19.7,798,586
Frankston (C),Metropolitan,Southern Metropolitan,130,40,Major Cities of Australia,133560,9,2,7,72.8,1140,495.7
Gannawarra (S),Rural,Loddon Mallee,3736,206,Outer Regional Australia,10326,2,2,0,9.3,764,575.7
Glen Eira (C),Metropolitan,Southern Metropolitan,39,21,Major Cities of Australia,141519,12,3,9,100,1445,465.6
Glenelg (S),Rural,Barwon-South Western,6218,298,Outer Regional Australia,19521,3,3,0,33.1,899,440.7
Golden Plains (S),Rural,Grampians,2703,64,Inner Regional Australia,20151,0,0,0,2.4,1217,387
Greater Bendigo (C),Rural,Loddon Mallee,2999,92,Inner Regional Australia,105332,5,3,2,57.8,991,470.7
Greater Dandenong (C),Metropolitan,Southern Metropolitan,130,28,Major Cities of Australia,146727,10,2,8,94,953,470.5
Greater Geelong (C),Rural,Barwon-South Western,1248,58,Inner Regional Australia,221515,7,2,5,76.9,1049,453.3
Greater Shepparton (C),Rural,Hume,2421,127,Inner Regional Australia,62784,3,2,1,54.1,980,453.6
Hepburn (S),Rural,Grampians,1473,78,Inner Regional Australia,14843,2,2,0,11.3,850,449.1
Hindmarsh (S),Rural,Grampians,7524,285,Outer Regional Australia,5695,4,4,0,20.6,785,669.9
Hobsons Bay (C),Metropolitan,Western Metropolitan,64,21,Major Cities of Australia,89111,2,1,1,87.7,1286,430.9
Horsham (RC),Rural,Grampians,4266,223,Outer Regional Australia,19687,1,1,0,55.4,946,511.6
Hume (C),Metropolitan,Northern Metropolitan,504,33,Major Cities of Australia,183263,4,3,1,75.3,1214,400.4
Indigo (S),Rural,Hume,2040,196,Inner Regional Australia,15372,1,1,0,7.1,1066,295.9
Kingston (C),Metropolitan,Southern Metropolitan,91,22,Major Cities of Australia,151686,3,1,2,97.8,1292,467.5
